"gene_loc","accession_no"
"gene_file/RS_GCF_002749895.1/RS_GCF_002749895.1.ffn","RS_GCF_002749895.1"
"gene_file/RS_GCF_002849855.1/RS_GCF_002849855.1.ffn","RS_GCF_002849855.1"
"gene_file/RS_GCF_002906655.1/RS_GCF_002906655.1.ffn","RS_GCF_002906655.1"
"gene_file/RS_GCF_003026105.1/RS_GCF_003026105.1.ffn","RS_GCF_003026105.1"
"gene_file/RS_GCF_003026475.1/RS_GCF_003026475.1.ffn","RS_GCF_003026475.1"
"gene_file/RS_GCF_003026815.1/RS_GCF_003026815.1.ffn","RS_GCF_003026815.1"
"gene_file/RS_GCF_003144035.1/RS_GCF_003144035.1.ffn","RS_GCF_003144035.1"
"gene_file/RS_GCF_003544875.1/RS_GCF_003544875.1.ffn","RS_GCF_003544875.1"
"gene_file/RS_GCF_003716875.1/RS_GCF_003716875.1.ffn","RS_GCF_003716875.1"
"gene_file/RS_GCF_900130105.1/RS_GCF_900130105.1.ffn","RS_GCF_900130105.1"
